id,altmetric_jid,type,altmetric_id,journal,is_oa,schema,score,cited_by_posts_count,cited_by_msm_count,cited_by_policies_count,cited_by_tweeters_count,cited_by_fbwalls_count,cited_by_rh_count,cited_by_patents_count,cited_by_accounts_count,last_updated,added_on,published_on,readers_count,citeulike_reader,mendeley,connotea,Literature_id_id
34,,article,14257953,Diagnostic Pathology,0,1.5.4,0.5,1,,,1,,,,1,1480685222,1480685237,1301443200,66,1,65,0,164
35,,article,2344900,American Journal of Neuroradiology,0,1.5.4,0.5,1,,,1,,,,1,1405953321,1399910130,1398297600,92,0,92,0,178
36,,article,1267469,Seminars in Dialysis,0,1.5.4,210.4,42,20,,8,,,,42,1708442708,1361968151,1361491200,56,2,54,0,181
37,,book,24750195,,0,1.5.4,1.5,2,,,1,,,,2,1506943741,1504519434,1483228800,166,0,166,0,182
38,,book,9955050,,0,1.5.4,9.75,23,,,10,3,,,15,1690931017,1469199814,1452211200,96,0,96,0,185
39,,article,103012969,Journal of the Medical Library Association,0,1.5.4,1.25,2,,,1,1,,,2,1654285089,1617130459,1609977600,144,0,144,0,188
40,,article,102482212,ACM SIGPLAN Notices,0,1.5.4,5.0,3,,,2,,,1,3,1684933771,1616553855,1287273600,39,1,38,0,190
41,,article,102358733,Communications of the ACM,0,1.5.4,9.0,7,,,2,,,3,7,1388818590,1616433530,641520000,106,0,106,0,196
42,,article,45467405,Prenatal Diagnosis,0,1.5.4,3.25,7,,,5,2,,,7,1540997417,1532431668,1533427200,45,0,45,0,205
43,,article,50080643,TechTrends,0,1.5.4,1.75,3,,,2,,,,3,1540296385,1540234884,1537315200,136,0,136,0,208
44,,article,44000434,Archives of Women's Mental Health,0,1.5.4,1.0,2,,,2,,,,2,1529686454,1529652795,1529625600,66,0,66,0,212
45,,article,74106007,Telematics & Informatics,0,1.5.4,1.85,2,,,2,,,,2,1579266792,1579201286,1588291200,116,0,116,0,214
46,,article,1853459,Science of Computer Programming,0,1.5.4,0.25,1,,,1,,,,1,1382539972,1382539989,1388534400,91,0,91,0,225
47,,article,377144,Public Health Nutrition,0,1.5.4,1.0,2,,,2,,,,2,1316621477,1316544251,1316390400,75,0,75,0,243
48,,article,12248696,,0,1.5.4,46.45,57,,,53,,,,55,1660514804,1475019236,1473292800,82,0,82,0,246
49,,article,4999142,BMC Public Health,0,1.5.4,5.6,11,,,9,1,,,11,1654108449,1452885032,1452816000,122,0,122,0,248
